Storm_Id,begining_azimuth,beginning_range,radar_lat,radar_lon,lat,long,lat15,lon15,lat30,lon30,lat45,lon45,lat60,lon60
Y4, 66,167,34.362,-98.976,35.453903447981126,-95.85630878349158,35.491632008586976,-95.7426816786121,35.48088853901217,-95.605453523209,35.52272932604511,-95.47178209684955,35.52272932604511,-95.47178209684955
Z7,282, 45,34.362,-98.976,34.51461166488183,-99.86573445992852,34.64470362738264,-99.6856509107563,34.7620133826651,-99.51838600067633,34.7620133826651,-99.51838600067633,34.7620133826651,-99.51838600067633
I5,166, 56,34.362,-98.976,33.456702627593245,-98.70555558949839,33.55836422874141,-98.58667873908243,33.661412447123105,-98.47100385630857,33.7570178238844,-98.34515304298556,33.86745830147351,-98.21728648089967
K8, 59,141,34.362,-98.976,35.546741985763504,-96.50187869620015,35.60423419855151,-96.37717596180144,35.66159775421867,-96.25229410251391,35.75965211156935,-96.15611836133608,35.81014422827659,-96.04981094903458
D3, 55,140,34.362,-98.976,35.67707057079812,-96.62460790178704,35.750826836832,-96.48793822465981,35.750826836832,-96.48793822465981,35.750826836832,-96.48793822465981,35.750826836832,-96.48793822465981
W8, 62,134,34.362,-98.976,35.38611032204115,-96.55879081294296,35.38611032204115,-96.55879081294296,35.38611032204115,-96.55879081294296,35.38611032204115,-96.55879081294296,35.38611032204115,-96.55879081294296
W7, 56,133,34.362,-98.976,35.58006951303417,-96.71794971071915,35.58006951303417,-96.71794971071915,35.58006951303417,-96.71794971071915,35.58006951303417,-96.71794971071915,35.58006951303417,-96.71794971071915
X1, 54,150,34.362,-98.976,35.80535392560823,-96.48382531135344,35.80535392560823,-96.48382531135344,35.80535392560823,-96.48382531135344,35.80535392560823,-96.48382531135344,35.80535392560823,-96.48382531135344
Z8,129, 55,34.362,-98.976,33.7825230802076,-98.1194802010284,33.88824379927204,-97.91307972373829,33.88824379927204,-97.91307972373829,33.88824379927204,-97.91307972373829,33.88824379927204,-97.91307972373829
X6, 27, 22,34.362,-98.976,34.688316025835,-98.77369147975408,34.766667939019406,-98.65576977453028,34.840073827658216,-98.5363500139995,34.917353325904635,-98.42634633395822,35.00119335828159,-98.29569257222322
U0,268, 21,34.362,-98.976,34.34906453961586,-99.39938368745004,34.361627581194554,-99.27864618836928,34.37582293201385,-99.1365541025617,34.39218871969651,-98.993060039006,34.40180378684523,-98.84321909471618
X9, 35, 85,34.362,-98.976,35.51765413516492,-97.97840690237973,35.670574631703055,-97.92645277452625,35.811753726627245,-97.85507902625928,35.811753726627245,-97.85507902625928,35.811753726627245,-97.85507902625928
N5,178, 60,34.362,-98.976,33.36327548214422,-98.93424450065287,33.47356347427947,-98.80733465976311,33.47356347427947,-98.80733465976311,33.47356347427947,-98.80733465976311,33.47356347427947,-98.80733465976311
I8,255,  9,34.362,-98.976,34.32307831239371,-99.15131946436554,34.428459328303404,-98.97036577074545,34.428459328303404,-98.97036577074545,34.428459328303404,-98.97036577074545,34.428459328303404,-98.97036577074545
L8, 33, 61,34.362,-98.976,35.21221466166808,-98.29875124409891,35.29216047399974,-98.26234421537966,35.37651153269552,-98.19665864227149,35.472833454194586,-98.15444852973211,35.543849713598235,-98.10101739062713
Y0, 40, 65,34.362,-98.976,35.188383254767004,-98.12453690120077,35.303659617611025,-98.07136563516687,35.40900514988725,-98.00448037680052,35.40900514988725,-98.00448037680052,35.40900514988725,-98.00448037680052
F1,133, 47,34.362,-98.976,33.826193428411855,-98.28684269582999,33.826193428411855,-98.28684269582999,33.826193428411855,-98.28684269582999,33.826193428411855,-98.28684269582999,33.826193428411855,-98.28684269582999
D6, 43,129,34.362,-98.976,35.920118554804105,-97.16673357052662,36.02780247190843,-97.03788158268814,36.02780247190843,-97.03788158268814,36.02780247190843,-97.03788158268814,36.02780247190843,-97.03788158268814
P7, 29, 46,34.362,-98.976,35.03125533814002,-98.52239469118035,35.087010489383616,-98.39955624380566,35.15497393528353,-98.26955754485282,35.15497393528353,-98.26955754485282,35.15497393528353,-98.26955754485282
Q0,270, 32,34.362,-98.976,34.36030510354687,-99.62163840906487,34.39216773563806,-99.51963609645048,34.424850128824005,-99.41346846285778,34.45912423530196,-99.3197895802247,34.48876802989263,-99.21325931609573
Z0, 59, 11,34.362,-98.976,34.45621258497825,-98.78554485436636,34.47488472007452,-98.617625186179,34.49715813976052,-98.43486764862728,34.49715813976052,-98.43486764862728,34.49715813976052,-98.43486764862728
L1, 48,136,34.362,-98.976,35.86023220647557,-96.89905512644648,35.86023220647557,-96.89905512644648,35.86023220647557,-96.89905512644648,35.86023220647557,-96.89905512644648,35.86023220647557,-96.89905512644648
C2, 36, 44,34.362,-98.976,34.953758701158556,-98.4504526067158,34.953758701158556,-98.4504526067158,34.953758701158556,-98.4504526067158,34.953758701158556,-98.4504526067158,34.953758701158556,-98.4504526067158
V9,329,127,34.362,-98.976,36.16776297371734,-100.32530349152432,36.23443487480814,-100.26719220920668,36.29995873627921,-100.20486951679847,36.364177295260895,-100.13835519466292,36.42693314786533,-100.06767809147057
T8, 63,149,34.362,-98.976,35.45880106315541,-96.26117857486092,35.460824851429,-96.12706708305971,35.50886068968824,-95.99660350657054,35.50886068968824,-95.99660350657054,35.50886068968824,-95.99660350657054
T9,326, 69,34.362,-98.976,35.31223788865621,-99.7635055394938,35.34088170967876,-99.67018217796922,35.363519443838314,-99.575834124019,35.38730075572566,-99.45918508171017,35.38730075572566,-99.45918508171017
Q9, 41,114,34.362,-98.976,35.78544632580562,-97.44052870356305,35.908063602578075,-97.36354898118334,36.00868511191158,-97.25564158050885,36.00868511191158,-97.25564158050885,36.00868511191158,-97.25564158050885
L9, 62,199,34.362,-98.976,35.86529031466976,-95.36446587660238,35.97733744822866,-95.24944665934846,36.08518116801475,-95.15608023654043,36.08518116801475,-95.15608023654043,36.08518116801475,-95.15608023654043
H6,343,124,34.362,-98.976,36.334765074277286,-99.72542584283882,36.412778362163884,-99.6117377611299,36.502694041324276,-99.4938017106958,36.5820282770608,-99.41392225592652,36.68061547153297,-99.27983543102198
T1, 63,186,34.362,-98.976,35.72164512338636,-95.5757534749273,35.72164512338636,-95.5757534749273,35.72164512338636,-95.5757534749273,35.72164512338636,-95.5757534749273,35.72164512338636,-95.5757534749273
